Plot_ID,Year,Block_Num,Treatment,Shrub_Interspace,Transect,EcolState,Shrub_Encroach,,,
1C_I1,2020,1,Control,Interspace,1,600,High,,,
1C_I2,2020,1,Control,Interspace,1,600,High,,,
1C_I3,2020,1,Control,Interspace,2,600,High,,,
1C_I4,2020,1,Control,Interspace,2,600,High,,,
1C_I5,2020,1,Control,Interspace,3,600,High,,,
1C_I6,2020,1,Control,Interspace,3,600,High,,,
1C_S1,2020,1,Control,Shrub,1,600,High,,,
1C_S2,2020,1,Control,Shrub,1,600,High,,,
1C_S3,2020,1,Control,Shrub,2,600,High,,,
1C_S4,2020,1,Control,Shrub,2,600,High,,,
1C_S5,2020,1,Control,Shrub,3,600,High,,,
1C_S6,2020,1,Control,Shrub,3,600,High,,,
1H_I1,2020,1,Herbicide,Interspace,1,600,High,,,
1H_I2,2020,1,Herbicide,Interspace,1,600,High,,,
1H_I3,2020,1,Herbicide,Interspace,2,600,High,,,
1H_I4,2020,1,Herbicide,Interspace,2,600,High,,,
1H_I5,2020,1,Herbicide,Interspace,3,600,High,,,
1H_I6,2020,1,Herbicide,Interspace,3,600,High,,,
1H_S1,2020,1,Herbicide,Shrub,1,600,High,,,
1H_S2,2020,1,Herbicide,Shrub,1,600,High,,,
1H_S3,2020,1,Herbicide,Shrub,2,600,High,,,
1H_S4,2020,1,Herbicide,Shrub,2,600,High,,,
1H_S5,2020,1,Herbicide,Shrub,3,600,High,,,
1H_S6,2020,1,Herbicide,Shrub,3,600,High,,,
2C_I1,2020,2,Control,Interspace,1,600,High,,,
2C_I2,2020,2,Control,Interspace,1,600,High,,,
2C_I3,2020,2,Control,Interspace,2,600,High,,,
2C_I4,2020,2,Control,Interspace,2,600,High,,,
2C_I5,2020,2,Control,Interspace,3,600,High,,,
2C_I6,2020,2,Control,Interspace,3,600,High,,,
2C_S1,2020,2,Control,Shrub,1,600,High,,,
2C_S2,2020,2,Control,Shrub,1,600,High,,,
2C_S3,2020,2,Control,Shrub,2,600,High,,,
2C_S4,2020,2,Control,Shrub,2,600,High,,,
2C_S5,2020,2,Control,Shrub,3,600,High,,,
2C_S6,2020,2,Control,Shrub,3,600,High,,,
2H_I1,2020,2,Herbicide,Interspace,1,600,High,,,
2H_I2,2020,2,Herbicide,Interspace,1,600,High,,,
2H_I3,2020,2,Herbicide,Interspace,2,600,High,,,
2H_I4,2020,2,Herbicide,Interspace,2,600,High,,,
