Cell_Number_2021,Plot_ID,Cell_ID,Year,Block_Num,Treatment,Shrub_Interspace,Transect,EcolState,Shrub_Encroach
1,1C_I1,1C_I1,2021,1,Control,Interspace,1,600,High
2,1C_I2,1C_I2,2021,1,Control,Interspace,1,600,High
3,1C_I3,1C_I3,2021,1,Control,Interspace,2,600,High
4,1C_I4,1C_I4,2021,1,Control,Interspace,2,600,High
5,1C_I5,1C_I5,2021,1,Control,Interspace,3,600,High
6,1C_I6,1C_I6,2021,1,Control,Interspace,3,600,High
7,1C_S1,1C_S1,2021,1,Control,Shrub,1,600,High
8,1C_S2,1C_S2,2021,1,Control,Shrub,1,600,High
9,1C_S3,1C_S3,2021,1,Control,Shrub,2,600,High
10,1C_S4,1C_S4,2021,1,Control,Shrub,2,600,High
11,1C_S5,1C_S5,2021,1,Control,Shrub,3,600,High
12,1C_S6,1C_S6,2021,1,Control,Shrub,3,600,High
13,1H_I1,1H_I1,2021,1,Herbicide,Interspace,1,600,High
14,1H_I2,1H_I2,2021,1,Herbicide,Interspace,1,600,High
15,1H_I3,1H_I3,2021,1,Herbicide,Interspace,2,600,High
16,1H_I4,1H_I4,2021,1,Herbicide,Interspace,2,600,High
17,1H_I5,1H_I5,2021,1,Herbicide,Interspace,3,600,High
18,1H_I6,1H_I6,2021,1,Herbicide,Interspace,3,600,High
19,1H_S1,1H_S1,2021,1,Herbicide,Shrub,1,600,High
20,1H_S2,1H_S2,2021,1,Herbicide,Shrub,1,600,High
21,1H_S3,1H_S3,2021,1,Herbicide,Shrub,2,600,High
22,1H_S4,1H_S4,2021,1,Herbicide,Shrub,2,600,High
23,1H_S5,1H_S5,2021,1,Herbicide,Shrub,3,600,High
24,1H_S6,1H_S6,2021,1,Herbicide,Shrub,3,600,High
25,2C_I1,2C_I1,2021,2,Control,Interspace,1,600,High
26,2C_I2,2C_I2,2021,2,Control,Interspace,1,600,High
27,2C_I3,2C_I3,2021,2,Control,Interspace,2,600,High
28,2C_I4,2C_I4,2021,2,Control,Interspace,2,600,High
29,2C_I5,2C_I5,2021,2,Control,Interspace,3,600,High
30,2C_I6,2C_I6,2021,2,Control,Interspace,3,600,High
31,2C_S1,2C_S1,2021,2,Control,Shrub,1,600,High
32,2C_S2,2C_S2,2021,2,Control,Shrub,1,600,High
33,2C_S3,2C_S3,2021,2,Control,Shrub,2,600,High
34,2C_S4,2C_S4,2021,2,Control,Shrub,2,600,High
35,2C_S5,2C_S5,2021,2,Control,Shrub,3,600,High
36,2C_S6,2C_S6,2021,2,Control,Shrub,3,600,High
37,2H_I1,2H_I1,2021,2,Herbicide,Interspace,1,600,High
38,2H_I2,2H_I2,2021,2,Herbicide,Interspace,1,600,High
39,2H_I3,2H_I3,2021,2,Herbicide,Interspace,2,600,High
40,2H_I4,2H_I4,2021,2,Herbicide,Interspace,2,600,High
41,2H_I5,2H_I5,2021,2,Herbicide,Interspace,3,600,High
42,2H_I6,2H_I6,2021,2,Herbicide,Interspace,3,600,High
43,2H_S1,2H_S1,2021,2,Herbicide,Shrub,1,600,High
44,2H_S2,2H_S2,2021,2,Herbicide,Shrub,1,600,High
45,2H_S3,2H_S3,2021,2,Herbicide,Shrub,2,600,High
46,2H_S4,2H_S4,2021,2,Herbicide,Shrub,2,600,High
47,2H_S5,2H_S5,2021,2,Herbicide,Shrub,3,600,High
48,2H_S6,2H_S6,2021,2,Herbicide,Shrub,3,600,High
49,3C_I1,3C_I1,2021,3,Control,Interspace,1,400,Medium
