Sample_Number,Plot_ID,Year,EcolState,Shrub_Encroach,Site,Treatment,Transect_Num,Shrub_Interspace,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Organic Matter LOI %,Nitrate-N ppm N,lbs N/A,Olsen P ppm P,Potassium ppm K,Sulfate-S ppm S,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Copper ppm Cu,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat
1,1C_1_NUTI,2021,600,High,1,Control,1,Interspace,7.6,7.2,0.11,0.5,15.7,9,7.9,173,2.4,0.32,7.4,4.8,0.64,790,111,10,5.4,0,8,74,17,1
2,1C_1_NUTS,2021,600,High,1,Control,1,Shrub,7.1,7.2,0.14,0.9,14.3,9,9.5,191,5.7,0.66,6.8,7.6,0.52,557,72,6,3.9,0,13,71,15,1
3,1C_2_NUTI,2021,600,High,1,Control,2,Interspace,7.7,7.2,0.22,3.8,2.7,2,8.3,201,4.9,0.46,7,4.7,0.74,906,110,7,6,0,9,75,15,1
4,1C_2_NUTS,2021,600,High,1,Control,2,Shrub,6.9,7.2,0.15,0.7,11.9,7,10.2,188,5,0.67,7.9,7,0.62,543,77,7,3.9,0,12,70,17,1
5,1C_3_NUTI,2021,600,High,1,Control,3,Interspace,7.3,7.2,0.08,0.6,3.7,2,8.3,152,2.3,0.42,7.6,5.2,0.66,641,106,8,4.5,0,9,70,20,1
6,1C_3_NUTS,2021,600,High,1,Control,3,Shrub,7.6,7.2,0.1,0.6,8.4,5,8.6,192,3.1,0.62,6.2,4.8,0.53,702,103,6,4.9,0,10,71,18,1
7,1H_1_NUTI,2021,600,High,1,Herbicide,1,Interspace,7.3,7.2,0.07,0.5,8.2,5,10.1,148,1.5,0.53,8.4,4.7,0.64,586,83,6,4,0,9,73,17,1
8,1H_1_NUTS,2021,600,High,1,Herbicide,1,Shrub,7.1,7.2,0.2,0.7,19.8,12,15.2,228,7.3,0.77,7.8,7.2,0.48,530,69,7,3.8,0,15,69,15,1
9,1H_2_NUTI,2021,600,High,1,Herbicide,2,Interspace,7.4,7.2,0.16,0.6,1.3,1,7.5,181,1.9,0.3,7.6,4.1,0.6,785,126,6,5.5,0,8,72,19,1
10,1H_2_NUTS,2021,600,High,1,Herbicide,2,Shrub,6.7,7.2,0.33,1.1,32.3,19,12.5,253,13.4,0.69,10.4,9.7,0.64,729,79,7,5,0,13,73,13,1
11,1H_3_NUTI,2021,600,High,1,Herbicide,3,Interspace,7.3,7.2,0.1,0.6,7.4,4,7,198,2.2,0.25,6.8,5.4,0.67,710,119,8,5.1,0,10,69,20,1
12,1H_3_NUTS,2021,600,High,1,Herbicide,3,Shrub,7,7.2,0.17,0.7,15.7,9,9.7,164,7.6,0.68,7.7,5.5,0.49,535,69,8,3.7,0,11,72,16,1
13,2C_1_NUTI,2021,600,High,2,Control,1,Interspace,7.7,7.2,0.1,0.5,6.2,4,7,162,1.5,0.22,6.8,5.5,0.37,753,113,8,5.2,0,8,73,18,1
14,2C_1_NUTS,2021,600,High,2,Control,1,Shrub,6.7,7.2,0.21,0.7,24.8,15,12.1,142,7.5,0.68,8.3,8.1,0.51,490,72,7,3.5,0,11,71,17,1
15,2C_2_NUTI,2021,600,High,2,Control,2,Interspace,7.6,7.2,0.17,0.6,13.5,8,7.1,175,4.1,0.16,5.5,4.2,0.22,815,109,7,5.5,0,8,74,17,1
16,2C_2_NUTS,2021,600,High,2,Control,2,Shrub,7.1,7.2,0.11,0.5,0.1,0,8.2,137,4.2,0.42,6.4,5.2,0.33,500,65,7,3.4,0,10,73,16,1
17,2C_3_NUTI,2021,600,High,2,Control,3,Interspace,7.6,7.2,0.1,0.5,3.7,2,7.8,181,1.4,0.34,7.8,4.7,0.59,672,116,7,4.8,0,10,69,20,1
18,2C_3_NUTS,2021,600,High,2,Control,3,Shrub,7,7.2,0.13,0.6,16.8,10,10.1,205,6.3,0.48,7.5,7.9,0.45,535,74,6,3.8,0,14,69,16,1
19,2H_1_NUTI,2021,600,High,2,Herbicide,1,Interspace,7.6,7.2,0.1,0.5,3.2,2,7.2,164,1.6,0.19,6.3,5.9,0.38,686,106,8,4.8,0,9,71,19,1
20,2H_1_NUTS,2021,600,High,2,Herbicide,1,Shrub,7.4,7.2,0.17,0.5,13.2,8,7.6,208,4.5,0.42,5.1,6.7,0.29,580,85,7,4.2,0,13,69,17,1
21,2H_2_NUTI,2021,600,High,2,Herbicide,2,Interspace,8.1,7.2,0.07,0.5,1.5,1,7.1,162,1.9,0.24,5.7,4.9,0.35,865,105,7,5.6,0,7,77,15,1
