Plot_ID,Block_Num,Treatment,Interspace_Num,Transect_Num,Year,Date,Initials_1,Initials_2,Azimuth,Bare_Class,Litter_Class,An_Grass_Class,Per_Grass_Class,An_Forb_Class,Per_Forb_Class,Shrub_Class,Subshrub_Class,Random_1,Random_2,Random_3,Random_4,Notes,Gravel_Class,An_Forb_Seedling_count,Grazed_Ungrazed
1C_I1,1,Control,1,1,2020,11/9/2020,MMR,EM,315,5,2,0,0,0,0,1,0,2,5,11,16,,0,N/A,N/A
1C_I1,1,Control,1,1,2021,10/22/2021,MR,MM,N/A,5,2,1,1,1,T,T,0,3,4,8,14,,0,N/A,N/A
1C_I1,1,Control,1,1,2022,10/14/2022,RS,N/A,N/A,5,2,0,0,2,0,1,0,1,3,9,13,,0,N/A,Grazed
1C_I2,1,Control,2,1,2020,11/9/2020,MMR,EM,251,6,1,0,0,0,0,0,0,2,3,5,8,,0,N/A,N/A
1C_I2,1,Control,2,1,2021,10/22/2021,MR,ELM,N/A,5,1,2,T,2,T,T,0,1,5,6,15,,0,N/A,N/A
1C_I2,1,Control,2,1,2022,10/14/2022,RS,N/A,N/A,4,2,1,1,2,0,0,0,2,10,11,13,,0,N/A,Grazed
1C_I3,1,Control,3,2,2020,11/9/2020,DH,N/A,318,4,2,0,2,0,1,0,0,1,3,12,15,Used nearest interspace,0,N/A,N/A
1C_I3,1,Control,3,2,2021,10/22/2021,ELM,MM,N/A,4,1,2,T,2,T,0,0,2,3,9,11,,0,N/A,N/A
1C_I3,1,Control,3,2,2022,10/14/2022,ELM,N/A,N/A,4,2,1,1,3,0,0,0,3,4,7,9,,0,N/A,Grazed
1C_I4,1,Control,4,2,2020,11/9/2020,DH,N/A,326,5,1,0,1,T,1,0,1,1,3,12,16,,0,N/A,N/A
1C_I4,1,Control,4,2,2021,10/22/2021,RS,MM,N/A,4,1,2,T,2,1,0,0,9,10,1,16,,0,N/A,N/A
1C_I4,1,Control,4,2,2022,10/14/2022,ELM,N/A,N/A,5,2,1,1,1,1,0,0,1,3,7,12,,0,N/A,Grazed
1C_I5,1,Control,5,3,2020,11/9/2020,EM,RS,336,6,1,0,0,1,T,0,0,7,8,10,14,,0,N/A,N/A
1C_I5,1,Control,5,3,2021,10/22/2021,ELM,SL,N/A,4,2,2,1,1,0,1,0,2,12,14,15,,0,N/A,N/A
1C_I5,1,Control,5,3,2022,10/14/2022,RS,N/A,N/A,4,2,1,1,2,0,0,0,3,4,6,15,,0,N/A,Grazed
1C_I6,1,Control,6,3,2020,11/9/2020,AI,RS,111,5,1,0,1,2,1,0,0,1,5,11,14,,0,N/A,N/A
1C_I6,1,Control,6,3,2021,10/22/2021,SL,ELM,N/A,5,2,2,T,1,1,0,0,2,3,5,12,,1,N/A,N/A
1C_I6,1,Control,6,3,2022,10/14/2022,RS,N/A,N/A,4,2,1,0,2,0,0,0,2,3,6,15,"Annual forb seedlings: 1 PORTU, 1 BOERHAVIA",0,2,Grazed
1H_I1,1,Herbicide,1,1,2020,11/11/2020,MR,DH,211,5,1,0,1,1,T,0,0,2,3,4,10,Used nearest interspace,0,N/A,N/A
1H_I1,1,Herbicide,1,1,2021,10/22/2021,RS,MR,N/A,4,1,2,1,2,2,0,0,2,10,14,15,,0,N/A,N/A
1H_I1,1,Herbicide,1,1,2022,10/14/2022,ELM,N/A,N/A,3,2,3,2,1,2,0,0,7,8,12,16,,0,N/A,Grazed
1H_I2,1,Herbicide,2,1,2020,11/11/2020,MR,EM,268,5,2,T,0,2,1,0,0,3,6,8,15,,0,N/A,N/A
1H_I2,1,Herbicide,2,1,2021,10/22/2021,MR,N/A,N/A,3,2,3,1,3,1,T,0,9,11,12,14,,0,N/A,N/A
1H_I2,1,Herbicide,2,1,2022,10/14/2022,ELM,N/A,N/A,4,2,2,1,1,0,0,0,6,7,13,15,,0,N/A,Grazed
1H_I3,1,Herbicide,3,2,2020,11/11/2020,AI,RS,114,6,1,0,1,0,T,0,0,5,10,14,15,,0,N/A,N/A
1H_I3,1,Herbicide,3,2,2021,10/26/2021,TT,N/A,N/A,4,1,1,1,2,T,0,0,1,3,8,10,,0,N/A,N/A
1H_I3,1,Herbicide,3,2,2022,10/14/2022,RS,N/A,N/A,4,2,2,1,0,0,0,0,1,6,10,12,,0,N/A,Grazed
