Plot,Year,PlotYear,Treatment,EcolState,Shrub_Encroach,SppRich
01C,2020,01C_2020,Control,600,High,21
01H,2020,01H_2020,Herbicide,600,High,18
03C,2020,03C_2020,Control,400,Medium,27
03H,2020,03H_2020,Herbicide,400,Medium,26
04C,2020,04C_2020,Control,400,Medium,26
04H,2020,04H_2020,Herbicide,400,Medium,30
08C,2020,08C_2020,Control,400,Medium,22
08H,2020,08H_2020,Herbicide,400,Medium,28
09C,2020,09C_2020,Control,400,Medium,22
09H,2020,09H_2020,Herbicide,400,Medium,21
10C,2020,10C_2020,Control,100,Low,20
10H,2020,10H_2020,Herbicide,100,Low,21
11C,2020,11C_2020,Control,400,Medium,31
11H,2020,11H_2020,Herbicide,400,Medium,24
12C,2020,12C_2020,Control,400,Medium,27
12H,2020,12H_2020,Herbicide,400,Medium,24
13C,2020,13C_2020,Control,400,Medium,23
13H,2020,13H_2020,Herbicide,400,Medium,21
14C,2020,14C_2020,Control,600,High,18
14H,2020,14H_2020,Herbicide,600,High,16
15C,2020,15C_2020,Control,600,High,16
15H,2020,15H_2020,Herbicide,600,High,18
16C,2020,16C_2020,Control,100,Low,23
16H,2020,16H_2020,Herbicide,100,Low,22
17C,2020,17C_2020,Control,600,High,12
17H,2020,17H_2020,Herbicide,600,High,13
18C,2020,18C_2020,Control,900,High,16
18H,2020,18H_2020,Herbicide,900,High,19
19C,2020,19C_2020,Control,600,High,19
19H,2020,19H_2020,Herbicide,600,High,18
20C,2020,20C_2020,Control,900,High,15
20H,2020,20H_2020,Herbicide,900,High,17
01C,2021,01C_2021,Control,600,High,34
01H,2021,01H_2021,Herbicide,600,High,29
02C,2021,02C_2021,Control,600,High,28
02H,2021,02H_2021,Herbicide,600,High,22
03C,2021,03C_2021,Control,400,Medium,31
03H,2021,03H_2021,Herbicide,400,Medium,32
04C,2021,04C_2021,Control,400,Medium,32
04H,2021,04H_2021,Herbicide,400,Medium,33
05C,2021,05C_2021,Control,600,High,18
05H,2021,05H_2021,Herbicide,600,High,20
06C,2021,06C_2021,Control,600,High,30
06H,2021,06H_2021,Herbicide,600,High,32
07C,2021,07C_2021,Control,600,High,29
07H,2021,07H_2021,Herbicide,600,High,29
08C,2021,08C_2021,Control,400,Medium,36
08H,2021,08H_2021,Herbicide,400,Medium,29
09C,2021,09C_2021,Control,400,Medium,31
09H,2021,09H_2021,Herbicide,400,Medium,21
10C,2021,10C_2021,Control,100,Low,37
10H,2021,10H_2021,Herbicide,100,Low,30
11C,2021,11C_2021,Control,400,Medium,36
11H,2021,11H_2021,Herbicide,400,Medium,29
12C,2021,12C_2021,Control,400,Medium,37
12H,2021,12H_2021,Herbicide,400,Medium,34
13C,2021,13C_2021,Control,400,Medium,34
13H,2021,13H_2021,Herbicide,400,Medium,27
14C,2021,14C_2021,Control,600,High,36
14H,2021,14H_2021,Herbicide,600,High,34
15C,2021,15C_2021,Control,600,High,37
15H,2021,15H_2021,Herbicide,600,High,35
16C,2021,16C_2021,Control,100,Low,38
16H,2021,16H_2021,Herbicide,100,Low,35
17C,2021,17C_2021,Control,600,High,30
17H,2021,17H_2021,Herbicide,600,High,30
18C,2021,18C_2021,Control,900,High,38
18H,2021,18H_2021,Herbicide,900,High,34
19C,2021,19C_2021,Control,600,High,38
19H,2021,19H_2021,Herbicide,600,High,36
20C,2021,20C_2021,Control,900,High,34
20H,2021,20H_2021,Herbicide,900,High,34
01C,2022,01C_2022,Control,600,High,26
01H,2022,01H_2022,Herbicide,600,High,28
02C,2022,02C_2022,Control,600,High,22
02H,2022,02H_2022,Herbicide,600,High,20
03C,2022,03C_2022,Control,400,Medium,34
03H,2022,03H_2022,Herbicide,400,Medium,24
04C,2022,04C_2022,Control,400,Medium,32
04H,2022,04H_2022,Herbicide,400,Medium,29
05C,2022,05C_2022,Control,600,High,17
05H,2022,05H_2022,Herbicide,600,High,25
06C,2022,06C_2022,Control,600,High,28
06H,2022,06H_2022,Herbicide,600,High,30
07C,2022,07C_2022,Control,600,High,25
07H,2022,07H_2022,Herbicide,600,High,29
08C,2022,08C_2022,Control,400,Medium,30
08H,2022,08H_2022,Herbicide,400,Medium,31
09C,2022,09C_2022,Control,400,Medium,25
09H,2022,09H_2022,Herbicide,400,Medium,28
10C,2022,10C_2022,Control,100,Low,27
10H,2022,10H_2022,Herbicide,100,Low,31
11C,2022,11C_2022,Control,400,Medium,37
11H,2022,11H_2022,Herbicide,400,Medium,30
12C,2022,12C_2022,Control,400,Medium,35
12H,2022,12H_2022,Herbicide,400,Medium,38
13C,2022,13C_2022,Control,400,Medium,33
13H,2022,13H_2022,Herbicide,400,Medium,30
14C,2022,14C_2022,Control,600,High,22
14H,2022,14H_2022,Herbicide,600,High,30
15C,2022,15C_2022,Control,600,High,27
15H,2022,15H_2022,Herbicide,600,High,31
16C,2022,16C_2022,Control,100,Low,40
16H,2022,16H_2022,Herbicide,100,Low,39
17C,2022,17C_2022,Control,600,High,28
17H,2022,17H_2022,Herbicide,600,High,28
18C,2022,18C_2022,Control,900,High,30
18H,2022,18H_2022,Herbicide,900,High,26
19C,2022,19C_2022,Control,600,High,33
19H,2022,19H_2022,Herbicide,600,High,30
20C,2022,20C_2022,Control,900,High,29
20H,2022,20H_2022,Herbicide,900,High,28
