"","Plot_ID","Year","Block_Num","Treatment","Interspace_Num","Transect_Num","Bare_Cover_Pct","Gravel_Cover_Pct","Litter_Cover_Pct","Annual_Grass_Cover_Pct","Perennial_Grass_Cover_Pct","Annual_Forb_Cover_Pct","Perennial_Forb_Cover_Pct","Shrub_Cover_Pct","Subshrub_Cover_Pct","Total_Plant_Cover_Pct"
"1","1C_I1","2020","1","Control","1","1",85,0,15,0,0,0,0,2.5,0,2.5
"2","1C_I1","2021","1","Control","1","1",85,0,15,2.5,2.5,2.5,0.5,0.5,0,8.5
"3","1C_I1","2022","1","Control","1","1",85,0,15,0,0,15,0,2.5,0,17.5
"4","1C_I2","2020","1","Control","2","1",97.5,0,2.5,0,0,0,0,0,0,0
"5","1C_I2","2021","1","Control","2","1",85,0,2.5,15,0.5,15,0.5,0.5,0,31.5
"6","1C_I2","2022","1","Control","2","1",62.5,0,15,2.5,2.5,15,0,0,0,20
"7","1C_I3","2020","1","Control","3","2",62.5,0,15,0,15,0,2.5,0,0,17.5
"8","1C_I3","2021","1","Control","3","2",62.5,0,2.5,15,0.5,15,0.5,0,0,31
"9","1C_I3","2022","1","Control","3","2",62.5,0,15,2.5,2.5,37.5,0,0,0,42.5
"10","1C_I4","2020","1","Control","4","2",85,0,2.5,0,2.5,0.5,2.5,0,2.5,8
"11","1C_I4","2021","1","Control","4","2",62.5,0,2.5,15,0.5,15,2.5,0,0,33
"12","1C_I4","2022","1","Control","4","2",85,0,15,2.5,2.5,2.5,2.5,0,0,10
"13","1C_I5","2020","1","Control","5","3",97.5,0,2.5,0,0,2.5,0.5,0,0,3
"14","1C_I5","2021","1","Control","5","3",62.5,0,15,15,2.5,2.5,0,2.5,0,22.5
"15","1C_I5","2022","1","Control","5","3",62.5,0,15,2.5,2.5,15,0,0,0,20
"16","1C_I6","2020","1","Control","6","3",85,0,2.5,0,2.5,15,2.5,0,0,20
"17","1C_I6","2021","1","Control","6","3",85,2.5,15,15,0.5,2.5,2.5,0,0,20.5
"18","1C_I6","2022","1","Control","6","3",62.5,0,15,2.5,0,15,0,0,0,17.5
"19","2C_I1","2020","2","Control","1","1",85,0,2.5,0,2.5,2.5,0,0,0,5
"20","2C_I1","2021","2","Control","1","1",85,0,0.5,2.5,2.5,2.5,2.5,0,0,10
"21","2C_I1","2022","2","Control","1","1",85,0,2.5,2.5,0,2.5,2.5,0,0,7.5
"22","2C_I2","2020","2","Control","2","1",85,0,2.5,0,2.5,2.5,0,0,0,5
"23","2C_I2","2021","2","Control","2","1",97.5,0,0.5,2.5,0.5,0.5,0,0,0,3.5
"24","2C_I2","2022","2","Control","2","1",97.5,0,2.5,0,0,0.5,0,0,0,0.5
"25","2C_I3","2020","2","Control","3","2",85,0,2.5,0,2.5,0,0,2.5,0,5
"26","2C_I3","2021","2","Control","3","2",97.5,0,0.5,2.5,2.5,2.5,0,0,0,7.5
"27","2C_I3","2022","2","Control","3","2",97.5,0,2.5,0,2.5,0,0,0,0,2.5
"28","2C_I4","2020","2","Control","4","2",85,0,2.5,0,15,0.5,0.5,0,0,16
"29","2C_I4","2021","2","Control","4","2",85,0,0.5,0,2.5,2.5,2.5,0,0,7.5
"30","2C_I4","2022","2","Control","4","2",85,0.5,15,2.5,2.5,2.5,0.5,0,0,8
"31","2C_I5","2020","2","Control","5","3",97.5,0,0.5,0,2.5,0,0,0,0,2.5
"32","2C_I5","2021","2","Control","5","3",37.5,0,2.5,2.5,2.5,15,2.5,0,0,22.5
