"","Plot_ID","Block_Num","Treatment","Shrub_Num","Transect_Num","Year","Perimeter_m","Height_m"
"1","1C_S1","1","Control","1","1","2020",21,1.75
"2","1C_S1","1","Control","1","1","2021",22.2,1.75
"3","1C_S1","1","Control","1","1","2022",21.3,1.75
"4","1C_S2","1","Control","2","1","2020",18.5,1.75
"5","1C_S2","1","Control","2","1","2021",17.7,1.75
"6","1C_S2","1","Control","2","1","2022",17.9,1.75
"7","1C_S3","1","Control","3","2","2020",13.2,1.75
"8","1C_S3","1","Control","3","2","2021",15.3,2.25
"9","1C_S3","1","Control","3","2","2022",14.3,2.25
"10","1C_S4","1","Control","4","2","2020",14.6,1.75
"11","1C_S4","1","Control","4","2","2021",16,1.75
"12","1C_S4","1","Control","4","2","2022",15.4,1.75
"13","1C_S5","1","Control","5","3","2020",15.6,1.25
"14","1C_S5","1","Control","5","3","2021",16.9,1.25
"15","1C_S5","1","Control","5","3","2022",15.8,1.25
"16","1C_S6","1","Control","6","3","2020",12.2,1.25
"17","1C_S6","1","Control","6","3","2021",12.2,1.25
"18","1C_S6","1","Control","6","3","2022",11.8,1.25
"19","2C_S1","2","Control","1","1","2020",19.7,1.75
"20","2C_S1","2","Control","1","1","2021",21,1.75
"21","2C_S1","2","Control","1","1","2022",21.1,1.75
"22","2C_S2","2","Control","2","1","2020",12.2,1.25
"23","2C_S2","2","Control","2","1","2021",12.5,1.25
"24","2C_S2","2","Control","2","1","2022",12.5,1.25
"25","2C_S3","2","Control","3","2","2020",13.9,1.25
"26","2C_S3","2","Control","3","2","2021",14.2,1.75
"27","2C_S3","2","Control","3","2","2022",13.8,1.75
"28","2C_S4","2","Control","4","2","2020",30.5,1.75
"29","2C_S4","2","Control","4","2","2021",34.3,1.75
"30","2C_S4","2","Control","4","2","2022",31.5,1.75
"31","2C_S5","2","Control","5","3","2020",19.2,1.75
"32","2C_S5","2","Control","5","3","2021",18.8,1.75
"33","2C_S5","2","Control","5","3","2022",28.6,2.25
"34","2C_S6","2","Control","6","3","2020",12.9,1.75
"35","2C_S6","2","Control","6","3","2021",16.2,1.25
"36","2C_S6","2","Control","6","3","2022",12.4,1.25
"37","3C_S1","3","Control","1","1","2020",9.8,1.25
"38","3C_S1","3","Control","1","1","2021",11.9,1.25
"39","3C_S1","3","Control","1","1","2022",10.1,1.25
"40","3C_S2","3","Control","2","1","2020",8.3,0.75
"41","3C_S2","3","Control","2","1","2021",9.9,0.75
"42","3C_S2","3","Control","2","1","2022",8.8,0.75
"43","3C_S3","3","Control","3","2","2020",10.2,1.75
"44","3C_S3","3","Control","3","2","2021",12,1.75
"45","3C_S3","3","Control","3","2","2022",10.7,1.75
"46","3C_S4","3","Control","4","2","2020",9.2,1.75
"47","3C_S4","3","Control","4","2","2021",12.4,1.75
"48","3C_S4","3","Control","4","2","2022",9.7,1.75
"49","3C_S5","3","Control","5","3","2020",11.4,1.75
"50","3C_S5","3","Control","5","3","2021",14.4,1.75
"51","3C_S5","3","Control","5","3","2022",10.9,1.75
"52","3C_S6","3","Control","6","3","2020",7.8,1.25
"53","3C_S6","3","Control","6","3","2021",9.3,1.75
"54","3C_S6","3","Control","6","3","2022",8.2,1.25
"55","4C_S1","4","Control","1","1","2020",26,1.75
"56","4C_S1","4","Control","1","1","2021",28.2,1.75
"57","4C_S1","4","Control","1","1","2022",27,1.75
"58","4C_S2","4","Control","2","1","2020",14.8,2.25
"59","4C_S2","4","Control","2","1","2021",13.4,2.25
"60","4C_S2","4","Control","2","1","2022",13.2,2.25
"61","4C_S3","4","Control","3","2","2020",12.1,1.75
"62","4C_S3","4","Control","3","2","2021",12.8,1.75
"63","4C_S3","4","Control","3","2","2022",12.4,1.25
"64","4C_S4","4","Control","4","2","2020",14,1.75
"65","4C_S4","4","Control","4","2","2021",14.8,1.75
"66","4C_S4","4","Control","4","2","2022",13.8,1.75
"67","4C_S5","4","Control","5","3","2020",20.8,1.75
"68","4C_S5","4","Control","5","3","2021",23.1,1.75
"69","4C_S5","4","Control","5","3","2022",19.9,1.75
"70","4C_S6","4","Control","6","3","2020",8,1.75
"71","4C_S6","4","Control","6","3","2021",10.3,2.25
"72","4C_S6","4","Control","6","3","2022",8.1,2.25
"73","5C_S1","5","Control","1","1","2021",9,0.75
"74","5C_S1","5","Control","1","1","2022",11.1,0.75
"75","5C_S2","5","Control","2","1","2021",20.6,2.25
"76","5C_S2","5","Control","2","1","2022",19.7,1.75
"77","5C_S3","5","Control","3","2","2021",11.3,1.75
"78","5C_S3","5","Control","3","2","2022",11.2,1.75
"79","5C_S4","5","Control","4","2","2021",27.7,1.75
"80","5C_S4","5","Control","4","2","2022",26.2,1.75
"81","5C_S5","5","Control","5","3","2021",54,1.75
"82","5C_S5","5","Control","5","3","2022",53.4,1.75
"83","5C_S6","5","Control","6","3","2021",9.6,1.25
"84","5C_S6","5","Control","6","3","2022",9.1,1.25
"85","6C_S1","6","Control","1","1","2021",17,1.75
"86","6C_S1","6","Control","1","1","2022",16.3,1.75
"87","6C_S2","6","Control","2","1","2021",8.3,0.75
"88","6C_S2","6","Control","2","1","2022",7.7,0.75
"89","6C_S3","6","Control","3","2","2021",17.7,1.75
"90","6C_S3","6","Control","3","2","2022",14.9,1.75
"91","6C_S4","6","Control","4","2","2021",14.7,1.75
"92","6C_S4","6","Control","4","2","2022",14.5,1.75
"93","6C_S5","6","Control","5","3","2021",8.7,1.25
"94","6C_S5","6","Control","5","3","2022",7.1,0.75
"95","6C_S6","6","Control","6","3","2021",12.2,1.25
"96","6C_S6","6","Control","6","3","2022",11.4,0.75
"97","7C_S1","7","Control","1","1","2021",16.7,1.75
"98","7C_S1","7","Control","1","1","2022",14,1.25
"99","7C_S2","7","Control","2","1","2021",14.6,1.25
"100","7C_S2","7","Control","2","1","2022",13.1,1.25
"101","7C_S3","7","Control","3","2","2021",10.8,1.25
"102","7C_S3","7","Control","3","2","2022",10,1.25
"103","7C_S4","7","Control","4","2","2021",14.3,0.75
"104","7C_S4","7","Control","4","2","2022",14.3,0.75
"105","7C_S5","7","Control","5","3","2021",14.6,1.75
"106","7C_S5","7","Control","5","3","2022",14.1,1.25
"107","7C_S6","7","Control","6","3","2021",28.8,1.25
"108","7C_S6","7","Control","6","3","2022",27.5,1.25
"109","8C_S1","8","Control","1","1","2020",9.9,1.75
"110","8C_S1","8","Control","1","1","2021",12.9,1.75
"111","8C_S1","8","Control","1","1","2022",10.9,1.75
"112","8C_S2","8","Control","2","1","2020",9.9,1.25
"113","8C_S2","8","Control","2","1","2021",11.5,1.25
"114","8C_S2","8","Control","2","1","2022",9.7,1.25
"115","8C_S3","8","Control","3","2","2020",14.2,1.75
"116","8C_S3","8","Control","3","2","2021",19,1.75
"117","8C_S3","8","Control","3","2","2022",15.8,1.75
"118","8C_S4","8","Control","4","2","2020",8.1,0.75
"119","8C_S4","8","Control","4","2","2021",10.2,0.75
"120","8C_S4","8","Control","4","2","2022",9,0.75
"121","8C_S5","8","Control","5","3","2020",14.9,1.75
"122","8C_S5","8","Control","5","3","2021",16.4,1.75
"123","8C_S5","8","Control","5","3","2022",15.7,1.75
"124","8C_S6","8","Control","6","3","2020",17.4,1.75
"125","8C_S6","8","Control","6","3","2021",19.7,1.75
"126","8C_S6","8","Control","6","3","2022",18.4,1.75
"127","9C_S1","9","Control","1","1","2020",15,1.25
"128","9C_S1","9","Control","1","1","2021",14.8,1.75
"129","9C_S1","9","Control","1","1","2022",14.7,1.75
"130","9C_S2","9","Control","2","1","2020",22.8,2.75
"131","9C_S2","9","Control","2","1","2021",21.5,2.75
"132","9C_S2","9","Control","2","1","2022",19.5,2.75
"133","9C_S3","9","Control","3","2","2020",21.1,2.75
"134","9C_S3","9","Control","3","2","2021",23.5,2.75
"135","9C_S3","9","Control","3","2","2022",22,2.75
"136","9C_S4","9","Control","4","2","2020",16.3,2.75
"137","9C_S4","9","Control","4","2","2021",16.7,2.75
"138","9C_S4","9","Control","4","2","2022",17,2.75
"139","9C_S5","9","Control","5","3","2020",11.5,1.75
"140","9C_S5","9","Control","5","3","2021",11,1.75
"141","9C_S5","9","Control","5","3","2022",11.2,1.75
"142","9C_S6","9","Control","6","3","2020",21.2,2.75
"143","9C_S6","9","Control","6","3","2021",22.5,2.75
"144","9C_S6","9","Control","6","3","2022",20.7,2.75
"145","10C_S1","10","Control","1","1","2020",6.7,1.25
"146","10C_S1","10","Control","1","1","2021",8.5,0.75
"147","10C_S1","10","Control","1","1","2022",7.6,0.75
"148","10C_S2","10","Control","2","1","2020",11,1.25
"149","10C_S2","10","Control","2","1","2021",13.3,1.25
"150","10C_S2","10","Control","2","1","2022",12.2,1.25
"151","10C_S3","10","Control","3","2","2020",15.8,2.75
"152","10C_S3","10","Control","3","2","2021",17.9,2.25
"153","10C_S3","10","Control","3","2","2022",16.8,2.25
"154","10C_S4","10","Control","4","2","2020",9,1.75
"155","10C_S4","10","Control","4","2","2021",12.2,1.25
"156","10C_S4","10","Control","4","2","2022",9.9,1.75
"157","10C_S5","10","Control","5","3","2020",19.4,1.75
"158","10C_S5","10","Control","5","3","2021",21.4,1.75
"159","10C_S5","10","Control","5","3","2022",19.4,1.75
"160","10C_S6","10","Control","6","3","2020",13.4,1.25
"161","10C_S6","10","Control","6","3","2021",11.8,1.25
"162","10C_S6","10","Control","6","3","2022",13.1,1.25
"163","11C_S1","11","Control","1","1","2020",16.7,1.75
"164","11C_S1","11","Control","1","1","2021",14.3,1.75
"165","11C_S1","11","Control","1","1","2022",13.5,1.75
"166","11C_S2","11","Control","2","1","2020",10.9,1.25
"167","11C_S2","11","Control","2","1","2021",9.7,1.25
"168","11C_S2","11","Control","2","1","2022",7.4,1.25
"169","11C_S3","11","Control","3","2","2020",13.8,1.75
"170","11C_S3","11","Control","3","2","2021",14.4,1.75
"171","11C_S3","11","Control","3","2","2022",13,1.75
"172","11C_S4","11","Control","4","2","2020",9.3,1.75
"173","11C_S4","11","Control","4","2","2021",9.8,1.75
"174","11C_S4","11","Control","4","2","2022",8.6,1.75
"175","11C_S5","11","Control","5","3","2020",6.8,1.25
"176","11C_S5","11","Control","5","3","2021",6.7,1.25
"177","11C_S5","11","Control","5","3","2022",6.3,1.25
"178","11C_S6","11","Control","6","3","2020",16.5,1.25
"179","11C_S6","11","Control","6","3","2021",16.6,1.25
"180","11C_S6","11","Control","6","3","2022",17.2,1.25
"181","12C_S1","12","Control","1","1","2020",17,2.25
"182","12C_S1","12","Control","1","1","2021",18.3,2.25
"183","12C_S1","12","Control","1","1","2022",17.3,2.25
"184","12C_S2","12","Control","2","1","2020",13.6,1.75
"185","12C_S2","12","Control","2","1","2021",14.9,1.75
"186","12C_S2","12","Control","2","1","2022",13.4,1.75
"187","12C_S3","12","Control","3","2","2020",17.9,2.25
"188","12C_S3","12","Control","3","2","2021",21.1,2.25
"189","12C_S3","12","Control","3","2","2022",18.4,2.25
"190","12C_S4","12","Control","4","2","2020",13.2,1.25
"191","12C_S4","12","Control","4","2","2021",18.2,1.25
"192","12C_S4","12","Control","4","2","2022",13,1.25
"193","12C_S5","12","Control","5","3","2020",17.4,1.75
"194","12C_S5","12","Control","5","3","2021",19.6,1.75
"195","12C_S5","12","Control","5","3","2022",16.6,1.75
"196","12C_S6","12","Control","6","3","2020",15.1,2.75
"197","12C_S6","12","Control","6","3","2021",16.3,2.75
"198","12C_S6","12","Control","6","3","2022",14.1,2.75
"199","13C_S1","13","Control","1","1","2020",7.4,1.25
"200","13C_S1","13","Control","1","1","2021",9.1,1.25
"201","13C_S1","13","Control","1","1","2022",8.1,1.25
"202","13C_S2","13","Control","2","1","2020",14.3,2.25
"203","13C_S2","13","Control","2","1","2021",11.5,2.25
"204","13C_S2","13","Control","2","1","2022",12.4,2.25
"205","13C_S3","13","Control","3","2","2020",16.5,1.75
"206","13C_S3","13","Control","3","2","2021",19.6,1.25
"207","13C_S3","13","Control","3","2","2022",18.1,1.25
"208","13C_S4","13","Control","4","2","2020",8.7,1.75
"209","13C_S4","13","Control","4","2","2021",8.2,1.25
"210","13C_S4","13","Control","4","2","2022",7.3,1.25
"211","13C_S5","13","Control","5","3","2020",17.1,1.75
"212","13C_S5","13","Control","5","3","2021",19.5,2.25
"213","13C_S5","13","Control","5","3","2022",18.1,1.75
"214","13C_S6","13","Control","6","3","2020",20.4,2.75
"215","13C_S6","13","Control","6","3","2021",23.4,2.75
"216","13C_S6","13","Control","6","3","2022",22.9,2.75
"217","14C_S1","14","Control","1","1","2020",10.2,0.75
"218","14C_S1","14","Control","1","1","2021",11.7,0.75
"219","14C_S1","14","Control","1","1","2022",11.1,0.75
"220","14C_S2","14","Control","2","1","2020",17.3,1.25
"221","14C_S2","14","Control","2","1","2021",19.3,0.75
"222","14C_S2","14","Control","2","1","2022",18.7,1.25
"223","14C_S3","14","Control","3","2","2020",10.9,1.25
"224","14C_S3","14","Control","3","2","2021",11.7,1.25
"225","14C_S3","14","Control","3","2","2022",11.7,1.25
"226","14C_S4","14","Control","4","2","2020",16.5,1.75
"227","14C_S4","14","Control","4","2","2021",17.3,1.75
"228","14C_S4","14","Control","4","2","2022",16.3,1.75
"229","14C_S5","14","Control","5","3","2020",8.1,0.75
"230","14C_S5","14","Control","5","3","2021",9.4,0.75
"231","14C_S5","14","Control","5","3","2022",7.2,0.75
"232","14C_S6","14","Control","6","3","2020",13.1,1.25
"233","14C_S6","14","Control","6","3","2021",12.6,1.25
"234","14C_S6","14","Control","6","3","2022",11.8,1.25
"235","15C_S1","15","Control","1","1","2020",7.9,0.75
"236","15C_S1","15","Control","1","1","2021",6.7,1.25
"237","15C_S1","15","Control","1","1","2022",7.4,0.75
"238","15C_S2","15","Control","2","1","2020",11.4,1.25
"239","15C_S2","15","Control","2","1","2021",17,1.25
"240","15C_S2","15","Control","2","1","2022",11.3,1.25
"241","15C_S3","15","Control","3","2","2020",12.9,1.25
"242","15C_S3","15","Control","3","2","2021",13,0.75
"243","15C_S3","15","Control","3","2","2022",14.3,1.25
"244","15C_S4","15","Control","4","2","2020",11,1.75
"245","15C_S4","15","Control","4","2","2021",11.1,1.75
"246","15C_S4","15","Control","4","2","2022",12.2,1.75
"247","15C_S5","15","Control","5","3","2020",14,2.25
"248","15C_S5","15","Control","5","3","2021",18.8,1.75
"249","15C_S5","15","Control","5","3","2022",15.6,1.75
"250","15C_S6","15","Control","6","3","2020",7.5,0.75
"251","15C_S6","15","Control","6","3","2021",12.1,0.75
"252","15C_S6","15","Control","6","3","2022",11.4,0.75
"253","16C_S1","16","Control","1","1","2020",11.4,1.75
"254","16C_S1","16","Control","1","1","2021",12,1.75
"255","16C_S1","16","Control","1","1","2022",11.5,1.75
"256","16C_S2","16","Control","2","1","2020",9.2,1.25
"257","16C_S2","16","Control","2","1","2021",9.4,1.25
"258","16C_S2","16","Control","2","1","2022",8.9,1.25
"259","16C_S3","16","Control","3","2","2020",19.2,1.75
"260","16C_S3","16","Control","3","2","2021",20.2,1.75
"261","16C_S3","16","Control","3","2","2022",18.5,1.75
"262","16C_S4","16","Control","4","2","2020",11.8,1.25
"263","16C_S4","16","Control","4","2","2021",11.8,1.25
"264","16C_S4","16","Control","4","2","2022",10.4,1.25
"265","16C_S5","16","Control","5","3","2020",16.6,1.75
"266","16C_S5","16","Control","5","3","2021",17.6,1.75
"267","16C_S5","16","Control","5","3","2022",16,1.75
"268","16C_S6","16","Control","6","3","2020",11.2,1.25
"269","16C_S6","16","Control","6","3","2021",11.5,1.25
"270","16C_S6","16","Control","6","3","2022",11.5,1.25
"271","17C_S1","17","Control","1","1","2020",23.2,1.75
"272","17C_S1","17","Control","1","1","2021",23.7,1.75
"273","17C_S1","17","Control","1","1","2022",20.9,1.75
"274","17C_S2","17","Control","2","1","2020",14.3,1.25
"275","17C_S2","17","Control","2","1","2021",12.4,1.25
"276","17C_S2","17","Control","2","1","2022",12.7,1.25
"277","17C_S3","17","Control","3","2","2020",8.2,1.25
"278","17C_S3","17","Control","3","2","2021",8.8,0.75
"279","17C_S3","17","Control","3","2","2022",7.9,0.75
"280","17C_S4","17","Control","4","2","2020",12.6,1.25
"281","17C_S4","17","Control","4","2","2021",13.5,1.75
"282","17C_S4","17","Control","4","2","2022",14.2,1.75
"283","17C_S5","17","Control","5","3","2020",16.5,1.25
"284","17C_S5","17","Control","5","3","2021",13.9,1.25
"285","17C_S5","17","Control","5","3","2022",15.6,1.25
"286","17C_S6","17","Control","6","3","2020",7.6,0.75
"287","17C_S6","17","Control","6","3","2021",6.4,0.75
"288","17C_S6","17","Control","6","3","2022",6.6,0.75
"289","18C_S1","18","Control","1","1","2020",8,1.25
"290","18C_S1","18","Control","1","1","2021",9.6,1.25
"291","18C_S1","18","Control","1","1","2022",8.6,1.25
"292","18C_S2","18","Control","2","1","2020",12.9,1.25
"293","18C_S2","18","Control","2","1","2021",12.5,1.25
"294","18C_S2","18","Control","2","1","2022",12.2,1.25
"295","18C_S3","18","Control","3","2","2020",17.8,0.75
"296","18C_S3","18","Control","3","2","2021",17.1,1.25
"297","18C_S3","18","Control","3","2","2022",15.9,0.75
"298","18C_S4","18","Control","4","2","2020",15,1.25
"299","18C_S4","18","Control","4","2","2021",16.1,1.25
"300","18C_S4","18","Control","4","2","2022",14.2,1.25
"301","18C_S5","18","Control","5","3","2020",11.2,1.25
"302","18C_S5","18","Control","5","3","2021",9.9,1.25
"303","18C_S5","18","Control","5","3","2022",10.1,1.25
"304","18C_S6","18","Control","6","3","2020",23.6,1.25
"305","18C_S6","18","Control","6","3","2021",24.1,1.75
"306","18C_S6","18","Control","6","3","2022",21.9,1.25
"307","19C_S1","19","Control","1","1","2020",7.5,1.25
"308","19C_S1","19","Control","1","1","2021",8.7,1.25
"309","19C_S1","19","Control","1","1","2022",8.4,1.25
"310","19C_S2","19","Control","2","1","2020",9.5,0.75
"311","19C_S2","19","Control","2","1","2021",11.2,0.75
"312","19C_S2","19","Control","2","1","2022",10.6,0.75
"313","19C_S3","19","Control","3","2","2020",10.6,1.25
"314","19C_S3","19","Control","3","2","2021",10.2,1.25
"315","19C_S3","19","Control","3","2","2022",10,1.25
"316","19C_S4","19","Control","4","2","2020",10.5,1.25
"317","19C_S4","19","Control","4","2","2021",10.1,1.25
"318","19C_S4","19","Control","4","2","2022",9.8,1.25
"319","19C_S5","19","Control","5","3","2020",15,1.25
"320","19C_S5","19","Control","5","3","2021",13.6,1.25
"321","19C_S5","19","Control","5","3","2022",11.4,1.25
"322","19C_S6","19","Control","6","3","2020",19.8,2.25
"323","19C_S6","19","Control","6","3","2021",25,2.25
"324","19C_S6","19","Control","6","3","2022",21.6,2.25
"325","20C_S1","20","Control","1","1","2020",12.5,1.25
"326","20C_S1","20","Control","1","1","2021",14,1.25
"327","20C_S1","20","Control","1","1","2022",12,1.25
"328","20C_S2","20","Control","2","1","2020",8.8,0.75
"329","20C_S2","20","Control","2","1","2021",8.3,0.75
"330","20C_S2","20","Control","2","1","2022",8,0.75
"331","20C_S3","20","Control","3","2","2020",17.3,1.75
"332","20C_S3","20","Control","3","2","2021",19.4,2.25
"333","20C_S3","20","Control","3","2","2022",18.8,2.25
"334","20C_S4","20","Control","4","2","2020",10.7,1.25
"335","20C_S4","20","Control","4","2","2021",12,1.25
"336","20C_S4","20","Control","4","2","2022",9.4,1.25
"337","20C_S5","20","Control","5","3","2020",14.7,1.25
"338","20C_S5","20","Control","5","3","2021",15.3,1.25
"339","20C_S5","20","Control","5","3","2022",11.6,1.25
"340","20C_S6","20","Control","6","3","2020",11.5,1.75
"341","20C_S6","20","Control","6","3","2021",12.2,2.25
"342","20C_S6","20","Control","6","3","2022",9.7,2.25
