Block_Num,Treatment,Year,EcolState,Shrub_Encroach,N,Total,sd,se,ci
1,Control,2020,600,High,12,802.6440038,723.0820067,208.7357956,459.4243885
1,Herbicide,2020,600,High,12,2219.074599,4015.062723,1159.048772,2551.049147
2,Control,2020,600,High,12,826.2511804,518.9675368,149.8130235,329.7362416
2,Herbicide,2020,600,High,12,1322.001889,1089.377085,314.4760766,692.1571779
3,Control,2020,400,Medium,12,1156.751653,849.5005971,245.2296992,539.7469288
3,Herbicide,2020,400,Medium,12,1251.180359,840.8686991,242.7378849,534.2624824
4,Control,2020,400,Medium,12,1274.787535,709.5017931,204.8155256,450.7959325
4,Herbicide,2020,400,Medium,12,1227.573182,898.5398993,259.3861264,570.9050148
8,Control,2020,400,Medium,12,2762.03966,2817.690514,813.3971885,1790.275141
8,Herbicide,2020,400,Medium,12,4131.255902,2955.023298,853.0417482,1877.532229
9,Control,2020,400,Medium,12,495.7507082,514.260251,148.4541472,326.7453749
9,Herbicide,2020,400,Medium,12,637.3937677,322.4306986,93.07772531,204.8626921
10,Control,2020,100,Low,12,1534.466478,923.5643583,266.6100654,586.8047976
10,Herbicide,2020,100,Low,12,1322.001889,776.59424,224.1834468,493.4244395
11,Control,2020,400,Medium,12,2903.68272,1725.806295,498.1973644,1096.525006
11,Herbicide,2020,400,Medium,12,2714.825307,1873.112518,540.7210081,1190.118915
12,Control,2020,400,Medium,12,3116.147309,2801.786818,808.8061869,1780.170415
12,Herbicide,2020,400,Medium,12,2219.074599,1132.070914,326.8007234,719.2835426
13,Control,2020,400,Medium,12,2101.038716,1246.332102,359.7850872,791.8816377
13,Herbicide,2020,400,Medium,12,1676.109537,1035.295879,298.8641771,657.7956187
14,Control,2020,600,High,12,1133.144476,810.3081495,233.9158141,514.8452356
14,Herbicide,2020,600,High,12,1440.037771,1900.181089,548.5350317,1207.317465
15,Control,2020,600,High,12,1817.752597,677.5039082,195.5785319,430.4654463
15,Herbicide,2020,600,High,12,2148.253069,883.1849447,254.9535328,561.1489422
16,Control,2020,100,Low,12,779.0368272,745.8455039,215.3070512,473.8876246
16,Herbicide,2020,100,Low,12,661.0009443,251.4519446,72.58792396,159.7649434
17,Control,2020,600,High,12,2431.539188,1269.530657,366.4819333,806.6212967
17,Herbicide,2020,600,High,12,826.2511804,858.0456631,247.6964473,545.1762047
18,Control,2020,900,High,12,2880.075543,1355.007816,391.1570638,860.9308927
18,Herbicide,2020,900,High,12,2384.324835,1405.875342,405.8412535,893.2505764
19,Control,2020,600,High,12,1298.394712,915.6309456,264.3198865,581.7641476
19,Herbicide,2020,600,High,12,873.4655335,474.925276,137.099118,301.7531241
20,Control,2020,900,High,12,1156.751653,559.5539212,161.5293035,355.5236
20,Herbicide,2020,900,High,12,1085.930123,1051.898953,303.657072,668.3447091
1,Control,2021,600,High,12,5004.721435,9135.170432,2637.096554,5804.210381
1,Herbicide,2021,600,High,12,7554.296506,19976.76964,5766.796666,12692.63388
2,Control,2021,600,High,12,1770.538244,888.6748807,256.5383408,564.6370811
2,Herbicide,2021,600,High,12,1770.538244,1533.293925,442.6238302,974.2084819
3,Control,2021,400,Medium,12,2384.324835,1129.651669,326.1023476,717.7464277
3,Herbicide,2021,400,Medium,12,2620.396601,1312.849251,378.9869341,834.1446179
4,Control,2021,400,Medium,12,2502.360718,1349.61294,389.599697,857.5031516
4,Herbicide,2021,400,Medium,12,2620.396601,1165.673954,336.5010856,740.6338959
5,Control,2021,600,High,12,967.8942398,832.1472668,240.2202242,528.7211487
5,Herbicide,2021,600,High,12,920.6798867,1214.711707,350.6570656,771.7909976
6,Control,2021,600,High,12,2266.288952,1449.523284,418.4413291,920.9831557
6,Herbicide,2021,600,High,12,2313.503305,2498.510961,721.2579879,1587.478128
7,Control,2021,600,High,12,1369.216242,692.1519356,199.8070532,439.7723589
7,Herbicide,2021,600,High,12,1746.931067,972.6198424,280.7711639,617.9731651
8,Control,2021,400,Medium,12,2053.824363,662.9907629,191.3889477,421.2442337
8,Herbicide,2021,400,Medium,12,2620.396601,1404.144501,405.3416027,892.1508523
9,Control,2021,400,Medium,12,1534.466478,1069.950015,308.8679645,679.8138063
9,Herbicide,2021,400,Medium,12,755.4296506,531.1257034,153.3227839,337.4611721
10,Control,2021,100,Low,12,2384.324835,969.8029165,279.9579875,616.1833759
10,Herbicide,2021,100,Low,12,1888.574127,665.2793122,192.049595,422.6983086
